Camera_Site_ID,Latitude,Longitude,TotalCoyotes,TotalCats,OBJECTID,Join_Count,TARGET_FID,COUNTY,POP_INC,INC_0_P,INC_50_P,INC_100_P,INC_125_P,INC_150_P,INC_185_P,INC_200_P,LOW_INC_P,OBJECTID_1,Join_Count_1,TARGET_FID_1,COUNTY_1,POP,WHITE_A_P,BLACK_A_P,AIAN_A_P,ASIAN_A_P,NHPI_A_P,OTHER_A_P,MULTI_P,WHITE_NH_P,BLACK_NH_P,AIAN_NH_P,ASIAN_NH_P,NHPI_NH_P,OTHER_NH_P,MULTI_NH_P,HISPANIC_P,WHITE_C_P,BLACK_C_P,AIAN_C_P,ASIAN_C_P,NHPI_C_P,OTHER_C_P,POC_P,OBJECTID_12,Join_Count_12,TARGET_FID_12,COUNTY_12,POP_1,AGE_0_P,AGE_5_P,AGE_18_P,AGE_35_P,AGE_65_P,AGE_75_P,MALE_P,FEMALE_P,POP_C_1,OBJECTID_12_13,Join_Count_12_13,COUNTY_12_13,POP_25,ED_LT_HS_P,ED_HS_P,ED_ASSOC_P,ED_BACH_P,ED_GRAD_P,AREA_12_13
POOR-E01-OB1,45.4843,-123,1.2097,3.2258,1,2,1,51,3284,6.1,5.7,4,1.9,4.4,1,77.1,22.9,1,2,1,51,3284,81.7,1,0,1.8,0,7.3,8.6,81.1,1,0,1.8,0,2.1,4.2,10.2,90.3,1,1.1,5.4,0,11.1,18.9,1,2,1,051,3284,2.1,15.7,29.7,35.6,10.4,6.7,47.8,52.2,8.1,1,2,51,2457,3.9,9.2,26.4,30.7,29.9,12641185.98
POOR-E03-JCP,45.4611,-123,3.2258,0.2016,2,4,3,5,4341,4,3.2,2.4,2.2,2.9,1,84.8,15.2,2,4,3,5,4351,78.5,3.5,1.5,4.4,0,2.2,9.9,75,3.5,1,4.4,0,0,7.3,9.1,88.4,6.6,4.4,6.4,0,4.4,25,2,4,3,005,4351,6.2,12.8,17.7,45.2,9.1,8.9,47.3,52.7,6.6,2,4,5,3292,4.8,18.7,34.2,27.9,14.3,46456132.81
POOR-E10-FFP,45.475,-123,1.4113,0.0000,3,4,8,51,5394,6.4,12.1,6.2,3.8,6,4.7,60.7,39.3,3,4,8,51,5577,66.4,4.6,5.3,16,0,2,5.6,60.5,4,1.2,16,0,0,3.5,14.6,70.7,6.6,7.1,16.4,0,5,39.5,3,4,8,051,5577,5.2,18.5,21.2,47,5.5,2.7,54.3,45.7,6.7,3,4,51,4033,10.6,30.8,26,21,11.5,21882549.9
POOR-E18-SW7,45.4946,-122,4.2339,1.8142,4,3,15,51,5779,13.2,5.6,10.5,7.1,6.1,1.5,56.1,43.9,4,3,15,51,5876,73.5,4.7,3.2,2.4,0,5.3,10.8,68.5,3.2,0,2.4,0,0,9.3,16.2,84.4,8.5,6.3,5,0,7.3,31.5,4,3,15,051,5876,6.8,10.5,24,40.2,9.8,8.6,44.2,55.8,7,4,3,51,4472,12.3,28.1,33.7,13.5,12.4,30990375.08
POOR-E21-BAR,45.481,-122,0.4032,4.2339,5,3,18,51,7664,8.8,6.7,16.2,3.4,9.5,4.2,51.2,48.8,5,3,18,51,7664,80.3,0,1.8,2.8,0,3.7,11.2,66.4,0,1.8,2.8,0,1,3.4,25,91.2,1.2,3.4,3.8,1,11.8,33.6,5,3,18,051,7664,9.3,19.4,24.2,39.8,4.1,3.3,47.8,52.2,10.9,5,3,51,4538,17.6,30,33.8,17.1,1.5,30292872.59
POOR-E22-HWF,45.4692,-122,2.4194,0.0000,6,1,19,51,6176,4,1.2,2.4,6.1,2.1,2.7,81.4,18.6,6,1,19,51,6203,86.9,1,1,1.2,0,0,10.3,76.7,1,1,1.2,0,0,9.8,10.7,96.9,2.1,3,6,0,2,23.3,6,1,19,051,6203,5.1,20.6,17,41.8,11.5,4.1,53.9,46.1,6.8,6,1,51,4150,7.9,25.3,37.4,20.5,8.9,386525957.5
POOR-S01-GBP,45.472,-123,1.0081,0.6048,7,6,20,51,3269,3.1,2.7,1.2,1.9,1.8,0,88.9,11.1,7,6,20,51,3386,74.5,3,0,10.7,0,0,11.7,73.5,3,0,10.7,0,0,10.4,2.4,86.3,5.2,0,18.7,0,1.5,26.5,7,6,20,051,3386,2.3,20.7,15.7,41.3,11.4,8.6,44.6,55.4,9.2,7,6,51,2404,1,11.4,19.8,40.3,27.9,19944172.83
POOR-W01-GHP,45.4758,-123,4.6371,0.0000,8,4,24,51,2432,6.3,2.4,2.5,1,9.3,2.2,76.6,23.4,8,4,24,51,2543,82,4.2,0,3.2,0,3.1,7.4,71.6,4.2,0,3.2,0,1,6.7,13.6,89.4,4.8,5.4,4.1,0,4.5,28.4,8,4,24,051,2543,1.9,10.9,47.6,32.8,6.6,0,52.9,47.1,11,8,4,51,2056,0,5.3,28.2,40.2,26,8465182.576
POOR-W13-BLP,45.5558,-123,6.8548,0.0000,9,2,33,67,10179,4.4,2.8,1.5,1.8,1,0,88.6,11.4,9,2,33,67,10179,41.4,2.2,0,44.7,0,5.2,6.4,36.6,2.2,0,44.7,0,1,3,12.8,47.6,2.7,1,47.3,0,8.2,63.4,9,2,33,067,10179,6.6,21.6,25.2,41.1,3.7,1.8,49.2,50.8,5.3,9,2,67,6638,1.9,12.7,22.5,30.2,32.8,206228433.4
POOR-W17-GHC,45.5978,-123,0.0000,16.7339,10,2,37,67,1328,0,0,1,1,1,1.2,95.9,4.1,10,2,37,67,1329,75.4,0,0,0,0,7.1,17.4,73.1,0,0,0,0,0,4.1,22.6,92.8,4.5,1.1,0,0,19,26.9,10,2,37,067,1329,1.7,22,12.2,44.8,12.9,6.4,54.9,45.1,10.5,10,2,67,910,7,29,35.2,16.4,12.4,696767837.2
